,name_normalized,total_points
20836,alex smithies,0
20837,alex smithies,0
20838,alex smithies,0
20839,alex smithies,0
20840,alex smithies,0
20841,alex smithies,0
20842,alex smithies,0
20843,alex smithies,0
20844,alex smithies,0
20845,alex smithies,0
20846,alex smithies,0
20847,alex smithies,0
20848,alex smithies,0
20849,alex smithies,0
20850,alex smithies,0
20851,alex smithies,0
20852,alex smithies,0
20853,alex smithies,0
20854,alex smithies,0
20855,alex smithies,0
20856,alex smithies,0
20857,alex smithies,0
20858,alexander srloth,1
20859,alexander srloth,1
20860,alexander srloth,1
20861,alexander srloth,1
20862,alexander srloth,0
20863,alexander srloth,1
20864,alexander srloth,1
20865,alexander srloth,1
